,molecule_chembl_id,IC50,units,smiles,pIC50
2292,CHEMBL4075253,387.0,nM,Cn1cc(-c2nccc(N3CCn4c(cc5c4CCCC5)C3=O)c2CO)cc(Nc2ccc(N3CCN(C4COC4)CC3)cn2)c1=O,6.412289034981089
2293,CHEMBL3605104,387.1,nM,CCCCn1cc(-c2cnc(N)c3c(-c4ccc(Oc5ccccc5)cc4)csc23)cn1,6.412176828681044
2294,CHEMBL3975009,396.0,nM,Cc1c(-c2ncnc3[nH]c(-c4cccc(CN5CCNCC5)c4)cc23)cccc1N1CCOc2cc(C3CC3)ccc2C1=O,6.402304814074488
2295,CHEMBL4126358,396.0,nM,C=CC(=O)Nc1cccc(-n2c(=O)n(CC)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,6.402304814074488
2296,CHEMBL2057914,400.0,nM,CC(C)(C)c1ccc(C(=O)Nc2cccc(-c3cn4ccnc4c(Nc4ccccc4)n3)c2)cc1,6.3979400086720375
2297,CHEMBL4552458,400.0,nM,O=C(Nc1ccccc1)Nc1cccc([C@@H]2CCCN(c3ncnc4[nH]ccc34)C2)c1,6.3979400086720375
2298,CHEMBL3358343,400.0,nM,CN1CCN(c2ccc(Nc3cc(-c4cccc(-n5ccc6cc(C7CC7)cc(Cl)c6c5=O)c4CO)cn(C)c3=O)nc2)CC1,6.3979400086720375
2299,CHEMBL3622198,404.0,nM,COc1cccc(-c2cc(C(N)=O)c3[nH]c4cc(C(=O)N5CCN(C)CC5)ccc4c3c2)c1,6.393618634889394
2300,CHEMBL4876114,408.0,nM,CN(C)C/C=C/C(=O)N1CCc2nn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c3c2C1,6.3893398369101195
2301,CHEMBL3605113,408.7,nM,CNC(=O)Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)c5cccc(Cl)c5)cc4)csc23)cn1,6.388595362288406
2302,CHEMBL3904241,410.0,nM,NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn2c1NCCC21CNC1,6.3872161432802645
2303,CHEMBL410295,410.0,nM,Cc1cccc(C)c1-n1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n2c3ccccc3nc12,6.3872161432802645
2304,CHEMBL4643297,410.0,nM,Cn1cc(-c2ccnc(N3CCn4c(cc5c4CC(C)(C)C5)C3=O)c2CO)cc(NC(=O)C2(O)CC2)c1=O,6.3872161432802645
2305,CHEMBL3891638,415.0,nM,Cc1c(-c2ncnc3[nH]c(-c4cccc(CN5CCOCC5)c4)cc23)cccc1N1CCOc2cc(C3CC3)ccc2C1=O,6.3819519032879075
2306,CHEMBL4209048,417.4,nM,CCC(=O)NC1CCc2c(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc3n2C1,6.3794475552705645
2307,CHEMBL4249872,420.4,nM,C=CC(=O)N1CCCC(Cn2nc(-c3cnn(CCOC)c3)c3c(N)ncnc32)C1,6.376337292643795
2308,CHEMBL3605112,420.9,nM,Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)c5cccc(Cl)c5)cc4)csc23)cn1,6.375821074251977
2309,CHEMBL3745919,421.0,nM,CN(C)CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,6.375717904164332
2310,CHEMBL4239634,430.0,nM,C=CC(=O)N[C@@H]1CCCN(c2ccc(C(N)=O)c(Oc3ccc(Oc4ccccc4)cc3)n2)C1,6.366531544420413
2311,CHEMBL4859613,433.0,nM,CC#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5)cc4)[nH]c23)CC1,6.363512103646634
2312,CHEMBL4543893,434.0,nM,C=CC(=O)N1CCC[C@H]1COc1nc(Nc2ccc(N3CCN(C(C)=O)CC3)cc2)nc2[nH]cc(-c3cncc(NC)n3)c12,6.362510270487489
2313,CHEMBL3622199,436.0,nM,COc1ccc(-c2cc(C(N)=O)c3[nH]c4cc(C(=O)N5CCN(C)CC5)ccc4c3c2)cc1,6.360513510731414
2314,CHEMBL4066104,437.0,nM,C=CC(=O)Nc1cc(Nc2ncc(C(=O)Nc3cc(NC(=O)c4cc(OC)c(OC)c(OC)c4)ccc3C)c(NC)n2)ccc1C,6.359518563029578
2315,CHEMBL4205977,440.0,nM,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1ccnc(Nc2ccc3cn[nH]c3c2)n1,6.356547323513812
2316,CHEMBL4640845,445.0,nM,C=CC(=O)NCCOc1cc(Cc2c(C)cc(C)cc2C)cc2[nH]c(-c3n[nH]c4cc(C(F)F)ccc34)cc12,6.351639989019068
2317,CHEMBL3605109,454.2,nM,CC(=O)n1cc(-c2cnc(N)c3c(-c4ccc(Oc5ccccc5)cc4)csc23)cn1,6.342752870116284
2318,CHEMBL3612989,455.7,nM,CNC(=O)CN1C=C(c2cnc(N)c3c(-c4ccc(Oc5ccccc5)cc4)csc23)CCC1,6.341320971417551
2319,CHEMBL1090672,456.0,nM,COc1ccccc1/C=C/c1nc2ccccc2c(=O)[nH]1,6.341035157335565
